Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-09-07,31.99,31.99,31.62,31.89,12554723.0,0.38,1.0,30.983568260846,30.983568260846,30.625208765488,30.886714343182,12554723.0
2016-09-08,31.85,32.0,31.68,31.71,11808229.0,0.0,1.0,30.847972776116,30.993253652613,30.683321116087,30.712377291386,11808229.0
2016-09-09,31.44,31.5575,30.37,30.48,22476319.0,0.0,1.0,30.450871713692,30.564675066948,29.414534794683,29.521074104114,22476319.0
2016-09-12,30.36,31.35,30.13,31.18,17250264.0,0.0,1.0,29.404849402916,30.363703187794,29.182085392288,30.199051527765,17250264.0
2016-09-13,31.02,31.15,30.82,30.94,16162854.0,0.0,1.0,30.044085259502,30.169995352465,29.850377424173,29.96660212537,16162854.0
2016-09-14,30.79,30.87,30.49,30.71,12903130.0,0.0,1.0,29.821321248873,29.898804383005,29.53075949588,29.743838114742,12903130.0
2016-09-15,30.75,31.23,30.74,31.12,13469441.0,0.0,1.0,29.782579681808,30.247478486597,29.772894290041,30.140939177166,13469441.0
2016-09-16,31.13,31.13,30.605,30.97,12779649.0,0.0,1.0,30.150624568932,30.150624568932,29.642141501194,29.995658300669,12779649.0
2016-09-19,31.9,32.08,31.66,31.72,32233155.0,0.0,1.0,30.896399734948,31.070736786744,30.663950332554,30.722062683153,32233155.0
2016-09-20,31.91,31.94,31.33,31.65,12874752.0,0.0,1.0,30.906085126715,30.935141302014,30.344332404261,30.654264940787,12874752.0
2016-09-21,31.72,32.16,31.72,32.11,14468725.0,0.0,1.0,30.722062683153,31.148219920876,30.722062683153,31.099792962044,14468725.0
2016-09-22,32.27,32.47,32.27,32.39,12033457.0,0.0,1.0,31.254759230307,31.448467065636,31.254759230307,31.370983931504,12033457.0
2016-09-23,32.1,32.37,32.05,32.12,9810207.0,0.0,1.0,31.090107570277,31.351613147971,31.041680611445,31.10947835381,9810207.0
2016-09-26,32.02,32.12,31.75,31.8,12700600.0,0.0,1.0,31.012624436146,31.10947835381,30.751118858452,30.799545817284,12700600.0
2016-09-27,31.77,31.96,31.54,31.6,14465340.0,0.0,1.0,30.770489641985,30.954512085547,30.547725631357,30.605837981955,14465340.0
2016-09-28,31.75,31.94,31.54,31.9,10713465.0,0.0,1.0,30.751118858452,30.935141302014,30.547725631357,30.896399734948,10713465.0
2016-09-29,31.77,31.96,31.45,31.48,8819401.0,0.0,1.0,30.770489641985,30.954512085547,30.460557105459,30.489613280758,8819401.0
2016-09-30,31.63,31.95,31.575,31.77,9314690.0,0.0,1.0,30.634894157255,30.944826693781,30.581624502539,30.770489641985,9314690.0
2016-10-03,31.64,32.245,31.61,32.04,11375748.0,0.0,1.0,30.644579549021,31.230545750891,30.615523373722,31.031995219679,11375748.0
2016-10-04,32.08,32.47,32.04,32.17,8506157.0,0.0,1.0,31.070736786744,31.448467065636,31.031995219679,31.157905312642,8506157.0
2016-10-05,32.31,32.78,32.23,32.68,11093547.0,0.0,1.0,31.293500797373,31.748714210395,31.216017663241,31.651860292731,11093547.0
